num_train,method,split,nlpd,variogram_score
200,exact_gp,4,1.1994509021419428,0.8694491828548023
200,exact_gp,5,1.0827148926951566,0.6603450659788507
200,exact_gp,6,1.0862762937239832,0.6450008842735763
200,exact_gp,7,1.0807797988339622,0.69585272239491
200,exact_gp,8,1.1707103146667392,0.8291315755584288
200,exact_gp,9,1.1109613859750922,0.7392831891409952
200,pro_gp_gibbs,1,0.8141885580200716,0.5771592517347345
200,pro_gp_gibbs,10,1.0125587588337561,0.6019685696030685
200,pro_gp_gibbs,2,0.9541649955560866,0.7046941275396373
200,pro_gp_gibbs,3,0.9517078002943837,0.6400213478847582
200,pro_gp_gibbs,4,1.126855785496926,0.8597132395015374
200,pro_gp_gibbs,5,1.0339642473227508,0.6535077288760146
200,pro_gp_gibbs,6,0.9842309948589648,0.6492237078345917
200,pro_gp_gibbs,7,1.0493672572731132,0.7037440711309974
200,pro_gp_gibbs,8,1.1344596710233912,0.8200754329996534
200,pro_gp_gibbs,9,0.9124936268945629,0.6947898060964438
200,pro_gp_gibbs_50,1,0.7921558651593869,0.5653847341618278
200,pro_gp_gibbs_50,10,0.9946529230715075,0.5883939022899769
200,pro_gp_gibbs_50,2,0.90076903234441,0.7247078849300466
200,pro_gp_gibbs_50,3,0.9624301620077257,0.640797317012043
200,pro_gp_gibbs_50,4,1.052449960578732,0.836855183491864
200,pro_gp_gibbs_50,5,1.001471860677392,0.6520454657012944
200,pro_gp_gibbs_50,6,0.9527310610887123,0.6341497784810562
200,pro_gp_gibbs_50,7,1.0619465608076386,0.7241021620929544
200,pro_gp_gibbs_50,8,1.1282283584858692,0.8208198372753222
200,pro_gp_gibbs_50,9,0.8974170692310898,0.6796716241648074
200,pro_gp_gibbs_adapt,1,0.8168940947100863,0.5629984001679993
200,pro_gp_gibbs_adapt,10,0.9473405924658571,0.5799633818863086
200,pro_gp_gibbs_adapt,2,0.9042107179976719,0.7048562404937712
200,pro_gp_gibbs_adapt,3,0.983968103121837,0.652987615595939
200,pro_gp_gibbs_adapt,4,0.9568037130462165,0.8067889888463992
200,pro_gp_gibbs_adapt,5,0.9936515565734275,0.6470043024550274
200,pro_gp_gibbs_adapt,6,0.9442952943849031,0.6329241444776628
200,pro_gp_gibbs_adapt,7,1.0344133107212872,0.7054288029783308
200,pro_gp_gibbs_adapt,8,1.1040920443313784,0.8135596063926768
200,pro_gp_gibbs_adapt,9,0.88545733832917,0.6776008885221757
225,exact_gp,1,0.9908110329148134,0.5378988031258973
225,exact_gp,10,1.032547197482652,0.6104432902245425
225,exact_gp,2,1.0486034697395363,0.6809798092242181
225,exact_gp,3,1.160005279251663,0.7175726467602099
225,exact_gp,4,1.0347297060112957,0.6637544060824534
225,exact_gp,5,1.179379810607753,0.7283716024512144
225,exact_gp,6,1.1209995541173912,0.7070305760041448
